model,preset,preset_label,mean_original_distance,mean_reference_distance,mean_identity_replacement_score,arcface_score,image_count
hyperswap_1c_256,preset_D,D - high detail,1.0225349217653275,0.23513654470443726,0.7873983770608902,0.7661507666110993,10
hyperswap_1c_256,preset_B,B - strong identity replacement,1.018651443719864,0.23742772936820983,0.781223714351654,0.7599466919898987,10
hyperswap_1a_256,preset_D,D - high detail,1.0021629273891448,0.2296707361936569,0.7724921911954881,0.7499184787273407,10
hyperswap_1a_256,preset_B,B - strong identity replacement,0.9992170244455337,0.2316380739212036,0.7675789505243301,0.7451630890369415,10
hyperswap_1c_256,preset_A,A - baseline,0.9735193282365799,0.22281019389629364,0.7507091343402863,0.7376806497573852,10
hyperswap_1a_256,preset_A,A - baseline,0.9550498694181442,0.2170695960521698,0.7379802733659744,0.7219272971153259,10
hyperswap_1a_256,preset_E,E - enhanced output,0.9661153495311737,0.23703108429908754,0.7290842652320861,0.7107538998126983,10
hyperswap_1a_256,preset_C,C - smoother boundary,0.963493138551712,0.2353862553834915,0.7281068831682205,0.7117219150066376,10
inswapper_128_fp16,preset_A,A - baseline,0.8801587224006653,0.1860981047153473,0.694060617685318,0.676708459854126,10
inswapper_128_fp16,preset_B,B - strong identity replacement,0.8867091834545135,0.20337278246879575,0.6833364009857178,0.6667578399181366,10
inswapper_128_fp16,preset_E,E - enhanced output,0.8752268552780151,0.22135658264160157,0.6538702726364136,0.6472020804882049,10
inswapper_128_fp16,preset_C,C - smoother boundary,0.8628835022449494,0.2092224031686783,0.653661099076271,0.644504600763321,10
simswap_unofficial_512,preset_D_1024x1024,"D - high detail, 1024x1024 SimSwap workaround",0.7806715875864029,0.4130012452602386,0.36767034232616425,0.4095807671546936,10
simswap_unofficial_512,preset_A,A - baseline,0.7665770322084426,0.4102084696292877,0.35636856257915495,0.4066583335399628,10
simswap_unofficial_512,preset_B,B - strong identity replacement,0.7727879226207732,0.4195327013731003,0.35325522124767306,0.40078169107437134,10
