model,preset,preset_label,recognizer,mean_original_distance,mean_reference_distance,mean_original_similarity,mean_reference_similarity,mean_identity_replacement_score,min_original_distance,max_reference_distance,image_count
hyperswap_1c_256,preset_D,D - high detail,adaface,1.0179237484931947,0.25177298188209535,-0.01792374849319458,0.7482270181179047,0.7661507666110993,0.9101114869117737,0.3175950050354004,10
hyperswap_1c_256,preset_B,B - strong identity replacement,adaface,1.014008343219757,0.2540616512298584,-0.01400834321975708,0.7459383487701416,0.7599466919898987,0.9100779891014099,0.3295096158981323,10
hyperswap_1a_256,preset_D,D - high detail,adaface,0.9941398918628692,0.24422141313552856,0.0058601081371307375,0.7557785868644714,0.7499184787273407,0.9072637557983398,0.32659029960632324,10
hyperswap_1a_256,preset_B,B - strong identity replacement,adaface,0.9909708678722382,0.24580777883529664,0.009029132127761842,0.7541922211647034,0.7451630890369415,0.9033465385437012,0.3282396197319031,10
hyperswap_1c_256,preset_A,A - baseline,adaface,0.9742673158645629,0.23658666610717774,0.02573268413543701,0.7634133338928223,0.7376806497573852,0.8682998418807983,0.31442272663116455,10
hyperswap_1a_256,preset_A,A - baseline,adaface,0.951183819770813,0.22925652265548707,0.04881618022918701,0.770743477344513,0.7219272971153259,0.8645535707473755,0.30775195360183716,10
hyperswap_1a_256,preset_C,C - smoother boundary,adaface,0.9591084659099579,0.24738655090332032,0.04089153409004211,0.7526134490966797,0.7117219150066376,0.8718013167381287,0.32765746116638184,10
hyperswap_1a_256,preset_E,E - enhanced output,adaface,0.9593153178691864,0.24856141805648804,0.040684682130813596,0.751438581943512,0.7107538998126983,0.8662245869636536,0.33392333984375,10
inswapper_128_fp16,preset_A,A - baseline,adaface,0.8855583727359772,0.2088499128818512,0.11444162726402282,0.7911500871181488,0.676708459854126,0.8302531242370605,0.27109551429748535,10
inswapper_128_fp16,preset_B,B - strong identity replacement,adaface,0.8922395825386047,0.22548174262046813,0.10776041746139527,0.7745182573795318,0.6667578399181366,0.834008514881134,0.28378474712371826,10
inswapper_128_fp16,preset_E,E - enhanced output,adaface,0.88600652217865,0.23880444169044496,0.1139934778213501,0.7611955583095551,0.6472020804882049,0.8250200748443604,0.2978864908218384,10
inswapper_128_fp16,preset_C,C - smoother boundary,adaface,0.8717242181301117,0.22721961736679078,0.1282757818698883,0.7727803826332093,0.644504600763321,0.8062280416488647,0.28188520669937134,10
simswap_unofficial_512,preset_D_1024x1024,"D - high detail, 1024x1024 SimSwap workaround",adaface,0.8143946290016174,0.4048138618469238,0.18560537099838256,0.5951861381530762,0.4095807671546936,0.6870492696762085,0.5135517716407776,10
simswap_unofficial_512,preset_A,A - baseline,adaface,0.8009625911712647,0.3943042576313019,0.19903740882873536,0.6056957423686982,0.4066583335399628,0.6819419860839844,0.5183542370796204,10
simswap_unofficial_512,preset_B,B - strong identity replacement,adaface,0.8100259661674499,0.4092442750930786,0.18997403383255004,0.5907557249069214,0.40078169107437134,0.6890844106674194,0.5277520418167114,10
hyperswap_1c_256,preset_D,D - high detail,arcface,1.0271460950374602,0.21850010752677917,-0.02714609503746033,0.7814998924732208,0.8086459875106812,0.9522963166236877,0.2638256549835205,10
hyperswap_1c_256,preset_B,B - strong identity replacement,arcface,1.0232945442199708,0.22079380750656127,-0.023294544219970702,0.7792061924934387,0.8025007367134094,0.9497552514076233,0.2665431499481201,10
hyperswap_1a_256,preset_D,D - high detail,arcface,1.0101859629154206,0.2151200592517853,-0.010185962915420533,0.7848799407482148,0.7950659036636353,0.9287716746330261,0.2805653214454651,10
hyperswap_1a_256,preset_B,B - strong identity replacement,arcface,1.0074631810188293,0.21746836900711058,-0.007463181018829345,0.7825316309928894,0.7899948120117187,0.9302750825881958,0.2791750431060791,10
hyperswap_1c_256,preset_A,A - baseline,arcface,0.9727713406085968,0.20903372168540954,0.027228659391403197,0.7909662783145904,0.7637376189231873,0.8958420157432556,0.26048892736434937,10
hyperswap_1a_256,preset_A,A - baseline,arcface,0.9589159190654755,0.20488266944885253,0.041084080934524536,0.7951173305511474,0.7540332496166229,0.8765456080436707,0.26789242029190063,10
hyperswap_1a_256,preset_E,E - enhanced output,arcface,0.972915381193161,0.225500750541687,0.02708461880683899,0.7744992494583129,0.747414630651474,0.8813802599906921,0.2971891164779663,10
hyperswap_1a_256,preset_C,C - smoother boundary,arcface,0.9678778111934662,0.22338595986366272,0.032122188806533815,0.7766140401363373,0.7444918513298034,0.8834576606750488,0.2894538640975952,10
inswapper_128_fp16,preset_A,A - baseline,arcface,0.8747590720653534,0.1633462965488434,0.1252409279346466,0.8366537034511566,0.71141277551651,0.815592885017395,0.2405158281326294,10
inswapper_128_fp16,preset_B,B - strong identity replacement,arcface,0.8811787843704224,0.1812638223171234,0.11882121562957763,0.8187361776828765,0.699914962053299,0.8191783428192139,0.2548918128013611,10
inswapper_128_fp16,preset_C,C - smoother boundary,arcface,0.854042786359787,0.19122518897056578,0.14595721364021302,0.8087748110294342,0.6628175973892212,0.7853897213935852,0.2614591121673584,10
inswapper_128_fp16,preset_E,E - enhanced output,arcface,0.8644471883773803,0.2039087235927582,0.13555281162261962,0.7960912764072419,0.6605384647846222,0.805025577545166,0.2805870771408081,10
simswap_unofficial_512,preset_D_1024x1024,"D - high detail, 1024x1024 SimSwap workaround",arcface,0.7469485461711883,0.42118862867355344,0.25305145382881167,0.5788113713264466,0.3257599174976349,0.6275314688682556,0.5143304467201233,10
simswap_unofficial_512,preset_A,A - baseline,arcface,0.7321914732456207,0.42611268162727356,0.2678085267543793,0.5738873183727264,0.30607879161834717,0.6320032477378845,0.510913610458374,10
simswap_unofficial_512,preset_B,B - strong identity replacement,arcface,0.7355498790740966,0.42982112765312197,0.2644501209259033,0.570178872346878,0.3057287514209747,0.6163113117218018,0.508962869644165,10
